Elapsed time [s]	Value [0,100]
0.000	17.57510
0.767	17.66070
2.765	17.58670
4.985	17.60870
6.890	17.66130
8.999	17.57470
11.126	17.67400
13.124	17.55510
15.251	17.70370
18.408	17.62720
19.469	17.51550
21.624	17.57950
23.689	17.59700
25.798	17.62770
27.814	17.52130
29.766	17.60440
33.968	17.60630
35.954	17.69390
38.111	17.64670
40.094	17.63260
42.206	17.61180
44.219	17.56030
46.485	17.53680
48.439	17.57470
50.407	17.63380
52.438	17.54580
54.673	17.68820
56.579	17.62970
58.610	17.55420
60.814	17.69940
62.751	17.56320
64.875	17.66360
66.938	17.69570
69.000	17.58630
71.078	17.55430
73.110	17.58380
75.203	17.65690
77.703	17.61900
79.423	17.62430
81.625	17.58840
83.641	17.62470
85.750	17.65510
87.861	17.53670
89.875	17.64450
91.891	17.59480
94.064	17.64110
