Elapsed time [s]	Value [0,100]
0.000	13.01690
0.564	12.92590
2.580	13.24050
4.782	13.02680
6.705	13.07720
8.814	13.22840
10.923	12.90460
12.875	13.07330
15.094	13.19930
17.079	12.96920
19.157	13.07970
21.282	13.23240
23.375	13.02150
25.499	12.98760
27.516	13.19410
29.642	13.07080
31.641	12.91980
33.749	13.05910
35.845	13.14160
37.813	13.05240
39.906	12.98570
42.000	13.17800
44.016	13.10130
46.047	13.09260
48.409	13.10000
50.250	13.17240
52.266	13.04210
54.251	13.01380
56.375	13.15900
58.391	13.11710
60.439	13.07690
62.625	13.12010
64.564	13.08770
66.734	13.10450
68.861	13.07620
70.890	13.09480
72.986	12.99710
74.984	13.10860
77.111	13.06170
79.109	12.98730
81.236	13.12500
83.438	13.20930
85.361	13.00530
87.470	13.17160
89.468	12.99050
91.688	13.15870
93.593	13.08490
