Elapsed time [s]	Value [0,100]
0.000	5.199430
0.360	5.195760
2.969	5.234050
4.985	5.240560
7.874	5.155390
9.813	5.128940
12.125	5.185190
14.219	5.202940
16.250	5.179900
18.454	5.183320
20.375	5.291910
22.484	5.225830
24.500	5.167290
26.609	5.251600
28.625	5.243760
30.642	5.218060
32.843	5.279530
34.767	5.228310
36.875	5.231300
39.080	5.237560
41.093	5.320290
43.205	5.249980
45.218	5.267350
48.360	5.252330
49.547	5.217020
51.455	5.266340
53.563	5.246000
55.672	5.168560
57.689	5.347640
59.797	5.203540
61.749	5.236450
63.922	5.292010
66.031	5.283520
68.063	5.210620
70.079	5.223040
72.095	5.222200
74.281	5.225650
76.297	5.217820
78.406	5.252220
80.422	5.268240
82.531	5.217650
84.455	5.136340
86.656	5.168310
88.673	5.231100
90.781	5.197350
93.016	5.201130
