Elapsed time [s]	Value [2E-11,5E-05]
0.000	7.21830E-8
1.766	7.35656E-8
3.783	7.42942E-8
7.874	7.45547E-8
9.813	7.26415E-8
11.922	7.35656E-8
13.938	7.50282E-8
15.862	7.70043E-8
18.439	7.92547E-8
19.922	7.74934E-8
22.111	4.81564E-8
24.112	3.57729E-8
26.002	3.02422E-8
28.033	2.70075E-8
30.080	2.40339E-8
32.109	2.24659E-8
34.187	2.07221E-8
36.188	1.97412E-8
38.250	1.96718E-8
40.313	1.93564E-8
42.345	1.90460E-8
44.314	1.86227E-8
46.516	1.83241E-8
48.439	1.77412E-8
50.407	1.58882E-8
52.438	1.62037E-8
54.673	1.64098E-8
56.455	1.59439E-8
58.579	1.57436E-8
60.516	1.53396E-8
62.625	1.51891E-8
64.517	1.36120E-8
66.564	1.28408E-8
68.658	2.28320E-8
70.671	4.83253E-8
72.641	5.86684E-8
74.688	6.08099E-8
76.720	6.32055E-8
78.751	6.46435E-8
80.829	6.56969E-8
82.845	6.89612E-8
84.813	7.00849E-8
86.860	7.26415E-8
88.876	7.10256E-8
90.923	7.16778E-8
