Elapsed time [s]	Value [2E-11,5E-04]
0.000	2.08284E-7
1.766	2.02370E-7
3.783	2.06974E-7
5.783	2.04944E-7
7.874	2.07700E-7
9.813	2.05668E-7
11.922	2.07700E-7
13.938	2.02370E-7
15.874	2.06246E-7
18.439	2.04944E-7
19.938	2.06246E-7
22.111	2.10347E-7
26.205	2.12425E-7
28.219	2.13023E-7
30.235	2.13774E-7
34.205	2.14524E-7
36.265	2.09607E-7
38.250	2.15887E-7
40.313	2.10347E-7
42.345	2.15127E-7
44.296	2.12425E-7
46.500	2.13023E-7
48.421	2.15127E-7
50.407	2.14524E-7
52.438	2.13023E-7
56.437	2.10347E-7
58.453	2.14524E-7
60.500	2.11084E-7
62.609	2.12425E-7
64.517	2.09607E-7
66.564	2.13774E-7
68.658	2.09019E-7
70.671	2.06974E-7
72.641	2.08284E-7
74.783	2.07700E-7
76.720	2.03655E-7
78.751	2.04369E-7
80.829	2.02939E-7
82.845	2.09019E-7
84.813	2.02370E-7
86.860	2.04944E-7
88.876	2.05668E-7
90.923	2.06246E-7
93.016	2.02939E-7
