Elapsed time [s]	Value [0,2500]
0.000	47.34160
1.172	47.22560
3.579	47.18870
5.595	47.15540
8.438	46.97350
10.562	46.84570
12.720	46.89850
14.749	46.88600
16.876	46.65870
19.016	46.84020
20.986	46.59260
23.205	46.67130
25.299	46.79960
27.204	46.70030
29.455	46.63590
33.546	46.56530
35.766	46.51740
37.813	46.50700
39.891	46.49820
42.000	46.55770
44.016	46.59270
48.409	46.55120
50.250	46.58970
52.266	46.56820
54.251	46.39330
56.249	46.52180
58.376	46.56760
60.374	46.41610
62.486	46.54530
64.517	46.46110
66.734	46.52020
68.861	46.36490
70.890	46.40180
72.986	46.39050
74.984	46.36840
77.111	46.53980
79.109	46.38400
81.236	46.31190
83.250	46.22920
85.361	46.29780
88.266	46.16870
90.375	46.31000
92.501	46.28250
