[Header]
; ACMS Data File (default extension .dat)
; Copyright 1999, Quantum Design, Inc. All rights reserved.
TITLE,ML_Cucumber_20211130_1_AMF_BCAO-V_vert1_SC_in_plane_AC
FILEOPENTIME,27805578.41,11/18/2022,10:05 pm
BYAPP,ACMS,1.0,1.1
INFO,PPMS ACMS Option Version: 1.0.9 Build 14,APPNAME
INFO,HARMONICS,1
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
INFO,,
DATATYPE,COMMENT,1
DATATYPE,TIME,2
FIELDGROUP,AC Mag,2,3,4,5,6,8,9,10,11,12
FIELDGROUP,DC Mag,2,3,4,7,8
STARTUPGROUP,All
STARTUPAXIS,X,2,LINEAR,AUTO
TIMEMODE,MINUTES,RELATIVE
PLOT_APPEARANCE,ALL,HORZ_GRID_ON,VERT_GRID_ON,MARKERS_AND_LINES
RECORDS,ALL_RECORDS
DATATYPE,TIME,2
DATATYPE,COMMENT,1
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Frequency (Hz),Amplitude (Oe),M-DC (emu),M-Std.Dev. (emu),M' (emu),M'' (emu),Moment (emu),Phase (deg),Calcoil' (emu),Calcoil'' (emu),Calcoil (emu),CC Phase (deg),Count,Gain,Measure Type,Elapsed (sec),Sample Center (cm),Max.Signal (V),PPMS Status (code),DSP Status (code),Min.Temperature (K),Max.Temperature (K),Min.Field (Oe),Max.Field (Oe),DC Position (cm),PPMS Temperature (K),PPMS Position,Bridge 1 Resistance (ohms),Bridge 1 Excitation (uA),Bridge 2 Resistance (ohms),Bridge 2 Excitation (uA),Bridge 3 Resistance (ohms),Bridge 3 Excitation (uA),Bridge 4 Resistance (ohms),Bridge 4 Excitation (uA),Signal 1 Vin (V),Signal 2 Vin (V),Digital Inputs (code),Drive 1 Iout (mA),Drive 1 Ipower (watts),Drive 2 Iout (mA),Drive 2 Ipower (watts),Pressure (),Map 20 (),Map 21 (),Map 22 (),Map 23 (),Map 24 (),Map 25 (),Map 26 (),Map 27 (),Map 28 (),Map 29 ()
,27805915.14,2.0013141,9.926,10000,2.99843742490047,,0.0793866859656228,,,,,,,,,,25,1,0,-0.246060367979109,0.00110652897693973,4373,0,1.9995073,2.0031209,9.926,9.926,,1.97,,,,,,,,,,,,,,,,,,,,,,,2.0013141
,27805951.93,1.9982996,9.926,10000,2.99843742490047,,0.0806461084068878,,,,,,,,,,25,1,0,-0.242587806809138,0.00110629341852165,4373,0,1.9972709,1.9993283,9.926,9.926,,1.9672,,,,,,,,,,,,,,,,,,,,,,,1.9982996
,27805988.60,1.9932776,9.926,10000,2.99843742490047,,0.0795291640237789,,,,,,,,,,25,1,0,-0.24012344297419,0.00110657180574302,4373,0,1.9911823,1.9953729,9.926,9.926,,1.9632,,,,,,,,,,,,,,,,,,,,,,,1.9932776
,27806024.54,1.99039525,9.926,10000,2.99843742490047,,0.079080276741646,,,,,,,,,,25,1,0,-0.241341617270275,0.00110622449091635,4373,0,1.9876426,1.9931479,9.926,9.926,,1.95875,,,,,,,,,,,,,,,,,,,,,,,1.99039525
,27806330.85,2.269406725,9.926,10,1.00174151861446,,9.26841534132319E-7,1.41775846550058E-5,6.05344416584222E-7,1.41905020528713E-5,2.44488940101291,1.48576715888948E-8,3.66412689845466E-11,1.48577167702862E-8,0.141299785782525,320,25,5,13.4965986394558,-0.241341617270275,6.6089394033175E-5,4370,0,2.1984491,2.3392713,9.926,9.926,,2.25495,,,,,,,,,,,,,,,,,,,,,,,2.269406725
,27806372.66,2.6129230125,9.926,10,1.00174151861446,,8.13025654142095E-7,1.16496272714618E-5,-5.99029461497378E-7,1.16650182965878E-5,-2.94358414157853,1.5082582694338E-8,3.35632141123651E-11,1.50826200383383E-8,0.1274998705638,320,25,5,13.4965986394558,-0.241341617270275,6.64282769391884E-5,4370,0,2.5322456,2.6814928,9.926,9.926,,2.6046875,,,,,,,,,,,,,,,,,,,,,,,2.6129230125
,27806420.62,3.015092225,9.926,10,1.00174151861446,,5.77738259000364E-7,8.37670446443884E-6,9.27437377419058E-7,8.42788928341987E-6,6.31784328910615,1.5194314436183E-8,1.25774091681717E-11,1.51943196417879E-8,0.047427759967627,320,25,5,13.4965986394558,-0.241341617270275,6.53562184568948E-5,4374,0,2.9411759,3.0896602,9.926,9.926,,2.9567875,,,,,,,,,,,,,,,,,,,,,,,3.015092225
,27806468.34,3.4122074125,9.926,10,1.00174151861446,,1.05994579358993E-6,1.25410563525353E-5,-6.06743336256937E-7,1.25557250652266E-5,-2.76984217393692,1.51393334229359E-8,2.27973717563654E-11,1.51393505874917E-8,0.0862780521346266,320,25,5,13.4965986394558,-0.241341617270275,6.57240108051273E-5,4374,0,3.3313515,3.5002077,9.926,9.926,,3.353275,,,,,,,,,,,,,,,,,,,,,,,3.4122074125
,27806517.83,3.8123304625,9.926,10,1.00174151861446,,7.01252816497074E-7,9.52892429428672E-6,6.24472263162205E-8,9.52912891414122E-6,0.375479034090908,1.52485322551349E-8,7.18011126469089E-11,1.52487012999687E-8,0.26978795375299,320,25,5,13.4965986394558,-0.241341617270275,6.53963704599769E-5,4374,0,3.7314951,3.889359,9.926,9.926,,3.7484875,,,,,,,,,,,,,,,,,,,,,,,3.8123304625
,27806566.06,4.2083430875,9.926,10,1.00174151861446,,6.38513427162284E-7,9.60334192901613E-6,-1.44029403786643E-6,9.71074781472121E-6,-8.52955630466147,1.51956382321593E-8,9.96410596626725E-11,1.51959649125494E-8,0.375695332844063,320,25,5,13.4965986394558,-0.241341617270275,6.55344933505795E-5,4370,0,4.1349978,4.2833118,9.926,9.926,,4.1390625,,,,,,,,,,,,,,,,,,,,,,,4.2083430875
