[Header]
TITLE,Bi-O-S_bestsample_Add.dat
BYAPP,HeatCapacity,3.8.6,1.7
INFO,,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.6 Build 1,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 12, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
28483624.91,CALFILE: Puck1089.cal
28483625.03,,5905,1.81555,1.8026,0.174,9.3E-6,1.8331528,0.034018286,0,0,0.11022838,0.0009673,0.11022838,0.0009673,124.18298,0.066829815,0,100,,,1,,,,1.6494E-6,0.1471704,3.3604491,0,0
28483640.53,,5905,1.81573,1.803,0.174,9.3E-6,1.8319215,0.031698656,0,0,0.10981697,0.001139,0.10981697,0.001139,147.91671,0.065927071,0,100,,,1,,,,1.6657E-6,0.1336596,3.3559365,0,0
28483656.05,,5905,1.81558,1.8026,0.174,9.4E-6,1.831858,0.03144117,0,0,0.10995317,0.001105,0.10995317,0.001105,128.82467,0.065960078,0,100,,,1,,,,1.667E-6,0.1318541,3.3557038,0,0
28483671.5,,5905,1.81568,1.8028,0.174,9.4E-6,1.8318898,0.031452678,0,0,0.10972858,0.001118,0.10972858,0.001118,78.432696,0.065856721,0,100,,,1,,,,1.6662E-6,0.1319202,3.3558202,0,0
28483686.89,,5905,1.81532,1.8024,0.174,9.4E-6,1.8314792,0.031454143,0,0,0.10963914,0.001023,0.10963914,0.001023,109.63409,0.065788991,0,100,,,1,,,,1.6665E-6,0.1317134,3.354316,0,0
28483702.48,,5905,1.81547,1.8025,0.174,9.3E-6,1.8316211,0.031393812,0,0,0.10969014,0.001107,0.10969014,0.001107,185.1657,0.065706093,0,100,,,1,,,,1.6694E-6,0.131578,3.3548358,0,0
28483717.94,,5905,1.81542,1.8023,0.174,9.3E-6,1.8316986,0.031357246,0,0,0.10983541,0.001131,0.10983541,0.001131,234.62959,0.065783148,0,100,,,1,,,,1.6697E-6,0.1314122,3.3551198,0,0
28483733.41,,5905,1.81485,1.802,0.174,9.4E-6,1.8309739,0.031413384,0,0,0.10970477,0.001101,0.10970477,0.001101,146.06997,0.065855124,0,100,,,1,,,,1.6659E-6,0.1315663,3.3524655,0,0
28483748.91,,5905,1.81498,1.8021,0.174,9.4E-6,1.8310347,0.031409128,0,0,0.10977997,0.001066,0.10977997,0.001066,111.94915,0.065909761,0,100,,,1,,,,1.6656E-6,0.1317102,3.3526882,0,0
