[Header]
TITLE,Bi-O-S_bestsample_Add2.dat
BYAPP,HeatCapacity,3.8.6,1.7
INFO,,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.8.6 Build 1,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 12, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
36014062.94,CALFILE: Puck1074_1.cal
36014063,,5905,1.79976,1.7936,0.131,9.3E-6,1.818241,0.034310175,0,0,0.11270678,0.0009701,0.11270678,0.0009701,53.572168,0.069796691,0,100,,,1,,,,1.6148E-6,0.1537051,3.3060003,0,0
36014079.16,,5905,1.79945,1.7932,0.131,9.3E-6,1.8169071,0.031945686,0,0,0.11261694,0.001151,0.11261694,0.001151,158.54949,0.069195648,0,100,,,1,,,,1.6275E-6,0.1395934,3.3011513,0,0
36014094.44,,5905,1.79974,1.7935,0.131,9.4E-6,1.8164552,0.031800112,0,0,0.11242519,0.001285,0.11242519,0.001285,25.071937,0.069082618,0,100,,,1,,,,1.6274E-6,0.1383913,3.2995094,0,0
36014109.77,,5905,1.79952,1.7935,0.131,9.3E-6,1.8169785,0.031748561,0,0,0.11202623,0.001106,0.11202623,0.001106,45.384462,0.068691793,0,100,,,1,,,,1.6309E-6,0.1381652,3.3014109,0,0
36014125.11,,5905,1.79933,1.7933,0.131,9.3E-6,1.816804,0.031606905,0,0,0.11247597,0.001107,0.11247597,0.001107,57.250355,0.068902465,0,100,,,1,,,,1.6324E-6,0.1373836,3.3007766,0,0
36014140.56,,5905,1.7993,1.7934,0.131,9.4E-6,1.8164258,0.031683477,0,0,0.1123798,0.001267,0.1123798,0.001267,36.163234,0.068853607,0,100,,,1,,,,1.6322E-6,0.1378049,3.2994029,0,0
36014155.97,,5905,1.79967,1.7937,0.131,9.4E-6,1.8163742,0.031737604,0,0,0.11251568,0.001115,0.11251568,0.001115,31.798309,0.069284235,0,100,,,1,,,,1.624E-6,0.1377072,3.2992151,0,0
36014174.05,,5905,1.79969,1.7936,0.131,9.4E-6,1.8166322,0.031777001,0,0,0.11255557,0.001219,0.11255557,0.001219,58.816632,0.068851579,0,100,,,1,,,,1.6348E-6,0.1385685,3.3001524,0,0
36014189.52,,5905,1.79955,1.7933,0.131,9.3E-6,1.81666,0.031696659,0,0,0.11246352,0.001207,0.11246352,0.001207,25.588019,0.069074555,0,100,,,1,,,,1.6281E-6,0.1377032,3.3002535,0,0
36014205.02,,5905,1.79943,1.7933,0.131,9.4E-6,1.8167174,0.031723213,0,0,0.11248683,0.001142,0.11248683,0.001142,109.60264,0.068889508,0,100,,,1,,,,1.6329E-6,0.1381491,3.3004621,0,0
36014220.47,,5905,1.79956,1.7933,0.131,9.3E-6,1.8168242,0.031737387,0,0,0.11240769,0.001144,0.11240769,0.001144,23.348229,0.069148159,0,100,,,1,,,,1.6256E-6,0.137779,3.3008501,0,0
36014235.94,,5905,1.79964,1.7936,0.131,9.4E-6,1.8168381,0.031832651,0,0,0.11168838,0.001139,0.11168838,0.001139,84.527448,0.068511477,0,100,,,1,,,,1.6302E-6,0.1382963,3.3009009,0,0
36014408.3,,5905,1.90473,1.8977,0.131,9.2E-6,1.9244516,0.032309559,0,0,0.12618075,0.001247,0.12618075,0.001247,98.155452,0.072461388,0,100,,,1,,,,1.7414E-6,0.137023,3.703514,0,0
36014424.83,,5905,1.90332,1.8961,0.131,9.3E-6,1.9257024,0.03402705,0,0,0.12744012,0.001322,0.12744012,0.001322,8.9984899,0.074451329,0,100,,,1,,,,1.7117E-6,0.1449228,3.7083297,0,0
36014440.41,,5905,1.90372,1.8974,0.131,9.3E-6,1.9260651,0.034560693,0,0,0.12705968,0.00126,0.12705968,0.00126,6.9641203,0.074049665,0,100,,,1,,,,1.7159E-6,0.1489027,3.7097268,0,0
36014455.8,,5905,1.9038,1.8972,0.131,9.3E-6,1.9259601,0.034449964,0,0,0.12693231,0.001238,0.12693231,0.001238,17.247916,0.07383798,0,100,,,1,,,,1.7191E-6,0.1480993,3.7093224,0,0
36014471.27,,5905,1.90294,1.8964,0.131,9.2E-6,1.9252997,0.034350342,0,0,0.1269956,0.001148,0.1269956,0.001148,12.923585,0.073784004,0,100,,,1,,,,1.7212E-6,0.147676,3.7067791,0,0
36014486.72,,5905,1.90298,1.896,0.131,9.4E-6,1.9251538,0.034313318,0,0,0.126801,0.001147,0.126801,0.001147,26.545354,0.073574501,0,100,,,1,,,,1.7234E-6,0.147568,3.706217,0,0
36014502.19,,5905,1.90337,1.8966,0.131,9.3E-6,1.9246479,0.034312556,0,0,0.12674672,0.001153,0.12674672,0.001153,40.874371,0.0736345,0,100,,,1,,,,1.7213E-6,0.147149,3.7042695,0,0
36014517.66,,5905,1.90237,1.8952,0.131,9.3E-6,1.9250366,0.034294378,0,0,0.12641196,0.001082,0.12641196,0.001082,14.484531,0.07339318,0,100,,,1,,,,1.7224E-6,0.147269,3.7057659,0,0
36014533.05,,5905,1.90286,1.896,0.131,9.4E-6,1.9246796,0.034235736,0,0,0.12657645,0.00111,0.12657645,0.00111,45.536974,0.073379721,0,100,,,1,,,,1.725E-6,0.1467864,3.7043915,0,0
36014548.47,,5905,1.903,1.8962,0.131,9.4E-6,1.9249198,0.034313475,0,0,0.12703277,0.001177,0.12703277,0.001177,103.48208,0.074385391,0,100,,,1,,,,1.7078E-6,0.1467594,3.7053161,0,0
36014563.92,,5905,1.90297,1.8959,0.131,9.3E-6,1.9256137,0.034397687,0,0,0.12681046,0.001665,0.12681046,0.001665,1.4756092,0.073143481,0,100,,,1,,,,1.7337E-6,0.1487708,3.707988,0,0
36014582.08,,5905,1.90186,1.8945,0.131,9.2E-6,1.9245654,0.034224441,0,0,0.12646128,0.001372,0.12646128,0.001372,1.1685382,0.073734426,0,100,,,1,,,,1.7151E-6,0.146287,3.7039522,0,0
36014761.44,,5905,2.00128,2.0044,0.131,9.3E-6,2.0272937,0.03489776,0,0,0.14129671,0.001767,0.14129671,0.001767,1.1387408,0.077137127,0,100,,,1,,,,1.8318E-6,0.1474689,4.1099197,0,0
36014776.84,,5905,2.00143,2.0064,0.131,9.2E-6,2.0279637,0.035881988,0,0,0.14138593,0.001575,0.14138593,0.001575,1.2942793,0.077147428,0,100,,,1,,,,1.8327E-6,0.1542743,4.1126366,0,0
36014795.11,,5905,2.00229,2.0071,0.131,9.3E-6,2.0278164,0.035920852,0,0,0.14126146,0.001572,0.14126146,0.001572,1.3085553,0.077212002,0,100,,,1,,,,1.8295E-6,0.1542949,4.1120394,0,0
36014810.44,,5905,2.00181,2.0066,0.131,9.3E-6,2.0281765,0.035895311,0,0,0.14131284,0.001244,0.14131284,0.001244,64.656549,0.07712003,0,100,,,1,,,,1.8324E-6,0.154424,4.1135001,0,0
36014825.91,,5905,2.00235,2.007,0.131,9.4E-6,2.0270659,0.035953688,0,0,0.14117315,0.001256,0.14117315,0.001256,32.510237,0.077495797,0,100,,,1,,,,1.8217E-6,0.1542401,4.1089963,0,0
