Time Stamp (Seconds), System Temp (Kelvin), Field (Oersted), Pressure (Torr)
36014455.8, 1.8972, 0.131, 9.3E-6
36014455.8, 1.8972, 0.131, 9.3E-6
36014471.27, 1.8964, 0.131, 9.2E-6
36014486.72, 1.896, 0.131, 9.4E-6
36014502.19, 1.8966, 0.131, 9.3E-6
36014517.66, 1.8952, 0.131, 9.3E-6
36014533.05, 1.896, 0.131, 9.4E-6
36014548.47, 1.8962, 0.131, 9.4E-6
36014563.92, 1.8959, 0.131, 9.3E-6
36014582.08, 1.8945, 0.131, 9.2E-6
36014761.44, 2.0044, 0.131, 9.3E-6
36014776.84, 2.0064, 0.131, 9.2E-6
36014795.11, 2.0071, 0.131, 9.3E-6
36014810.44, 2.0066, 0.131, 9.3E-6
36014825.91, 2.007, 0.131, 9.4E-6
36014844.05, 2.0073, 0.131, 9.3E-6
36014862.33, 2.0074, 0.131, 9.4E-6
36014877.83, 2.0064, 0.131, 9.4E-6
36014895.8, 2.0075, 0.131, 9.3E-6
36014911.19, 2.0071, 0.131, 9.3E-6
36014926.45, 2.007, 0.131, 9.4E-6
36014942.78, 2.0074, 0.131, 9.3E-6
36015113.89, 2.1118, 0.131, 9.3E-6
36015129.38, 2.1125, 0.131, 9.3E-6
36015144.69, 2.1125, 0.131, 9.3E-6
36015160.34, 2.1132, 0.131, 9.4E-6
36015175.77, 2.1123, 0.131, 9.2E-6
36015192.09, 2.1126, 0.131, 9.4E-6
36015208.41, 2.1125, 0.131, 9.2E-6
36015223.77, 2.1131, 0.131, 9.4E-6
36015241.97, 2.1135, 0.131, 9.2E-6
36015257.44, 2.1142, 0.131, 9.4E-6
36015272.86, 2.1135, 0.131, 9.4E-6
36015291.91, 2.1144, 0.131, 9.4E-6
36015467.55, 2.2124, 0.131, 9.4E-6
36015483.02, 2.215, 0.131, 9.4E-6
36015498.41, 2.2127, 0.131, 9.3E-6
36015513.75, 2.2128, 0.131, 9.4E-6
36015529.2, 2.2126, 0.131, 9.3E-6
36015544.61, 2.2117, 0.131, 9.2E-6
36015560.06, 2.2117, 0.131, 9.3E-6
36015575.55, 2.2136, 0.131, 9.3E-6
36015591.03, 2.2116, 0.131, 9.3E-6
36015606.55, 2.2115, 0.131, 9.2E-6
36015621.78, 2.2132, 0.131, 9.4E-6
36015637.2, 2.2111, 0.131, 9.4E-6
